번호,카테고리,문구,유형
1,노력·기준,"네 노력의 기준은 네 옆 사람이 정한다. 그러니 더 뛰는 사람 곁에 서라.",오리지널
2,노력·기준,"재능은 출발선을 정하고, 습관은 결승선을 정한다.",오리지널
3,노력·기준,"남들이 쉴 때 한 것이, 남들이 뛸 때 나를 앞세운다.",오리지널
4,노력·기준,"훈련은 거짓말을 하지 않는다. 그라운드는 흘린 땀만큼만 돌려준다.",오리지널
5,노력·기준,"실력은 기분 좋을 때가 아니라, 하기 싫을 때 한 훈련에서 자란다.",오리지널
6,노력·기준,"오늘의 1%는 표가 안 난다. 1년의 1%가 다른 선수를 만든다.",오리지널
7,노력·기준,"'열심히'가 아니라 '남들보다'가 기준이 되는 순간, 진짜 성장이 시작된다.",각색(인터뷰 영감)
8,노력·기준,"새벽에 나와 본 사람만 아는 사실 — 그 시간엔 경쟁자가 별로 없다.",각색(인터뷰 영감)
9,노력·기준,"최고의 선수도 오늘 기본기 100개를 찬다. 너는 몇 개를 찼는가.",각색(인터뷰 영감)
10,노력·기준,"코치가 볼 때만 잘하는 선수와 아무도 안 볼 때 잘하는 선수의 격차는 3년 뒤에 드러난다.",오리지널
11,노력·기준,"노력에는 '충분히'가 없다. 어제의 나보다 조금 더, 그게 전부다.",오리지널
12,노력·기준,"재능은 빌려온 것이고, 노력은 내가 만든 것이다.",오리지널
13,노력·기준,"땀은 배신하지 않지만, 게으름도 배신하지 않는다.",오리지널
14,노력·기준,"잘하고 싶은 마음은 누구나 있다. 그걸 오늘 훈련으로 바꾼 사람만 잘하게 된다.",오리지널
15,노력·기준,"힘든 훈련을 피하면, 힘든 경기를 만나게 된다.",오리지널
16,실패·회복탄력성,"실수한 그 장면을 지워라. 다음 공은 아직 오지 않았다.",오리지널
17,실패·회복탄력성,"넘어진 횟수는 기록되지 않는다. 다시 일어난 횟수만 기억된다.",오리지널
18,실패·회복탄력성,"진 경기는 스승이고, 이긴 경기는 선물이다. 둘 다 챙겨라.",오리지널
19,실패·회복탄력성,"벤치는 끝이 아니라, 가장 잘 보이는 배움의 자리다.",오리지널
20,실패·회복탄력성,"오늘 '못한 것'은 못하는 게 아니라, 아직 '안 된 것'이다.",오리지널
21,실패·회복탄력성,"실패는 나를 정의하지 않는다. 실패 다음에 한 행동이 나를 정의한다.",오리지널
22,실패·회복탄력성,"슛을 놓친 것을 두려워 말라. 슛을 시도하지 않은 밤이 더 두렵다.",각색(인터뷰 영감)
23,실패·회복탄력성,"경기에서 진 날, 이불을 뒤집어쓸지 노트를 펼칠지가 선수의 급을 가른다.",오리지널
24,실패·회복탄력성,"좌절은 성장통이다. 아프다는 건 자라고 있다는 뜻이다.",오리지널
25,실패·회복탄력성,"실수 하나에 무너지는 멘탈은, 실수 하나로 단단해질 수도 있다.",오리지널
26,실패·회복탄력성,"최고의 선수도 수천 번 놓쳤다. 다른 건 놓친 뒤 다시 뛰었다는 것뿐이다.",각색(인터뷰 영감)
27,실패·회복탄력성,"오늘의 눈물은 내일의 근육이 된다.",오리지널
28,실패·회복탄력성,"잘 안 될 때가 진짜 훈련이다. 잘 될 때는 누구나 웃는다.",오리지널
29,실패·회복탄력성,"진 이유를 남에게서 찾으면 배움이 없고, 나에게서 찾으면 성장이 있다.",오리지널
30,실패·회복탄력성,"벤치에 앉은 시간은 버리는 시간이 아니라, 경기를 읽는 눈을 기르는 시간이다.",오리지널
31,자신감·멘탈,"긴장된다는 건, 그만큼 잘하고 싶다는 뜻이다.",오리지널
32,자신감·멘탈,"관중의 눈이 아니라, 네가 연습한 손끝을 믿어라.",오리지널
33,자신감·멘탈,"자신감은 큰 소리가 아니라, 어제 한 준비에서 나온다.",오리지널
34,자신감·멘탈,"경기 전 떨림은 적이 아니라 연료다.",오리지널
35,자신감·멘탈,"잘할 수 있을까를 백 번 묻는 대신, 한 번 더 연습하라.",오리지널
36,자신감·멘탈,"멘탈은 타고나는 게 아니라, 매일 조금씩 훈련되는 근육이다.",오리지널
37,자신감·멘탈,"남과 비교하는 순간 작아지고, 어제의 나와 비교하는 순간 커진다.",오리지널
38,자신감·멘탈,"두려움은 없애는 게 아니라, 안고 뛰는 것이다.",오리지널
39,자신감·멘탈,"큰 경기일수록 크게 생각하지 말고, 늘 하던 대로 하라.",오리지널
40,자신감·멘탈,"실력이 늘면 자신감이 오는 게 아니라, 준비를 마치면 자신감이 온다.",오리지널
41,자신감·멘탈,"경기장에 들어서면 결과는 잊어라. 지금 이 공에만 집중하라.",오리지널
42,자신감·멘탈,"스스로에게 하는 말이 곧 그날의 경기력이 된다.",오리지널
43,꾸준함·인내,"매일 '조금'은 가끔 '많이'를 이긴다.",오리지널
44,꾸준함·인내,"지루한 반복을 견딘 사람만, 화려한 순간을 갖는다.",오리지널
45,꾸준함·인내,"성장은 소리 없이 온다 — 어느 날 문득 키가 자라 있듯이.",오리지널
46,꾸준함·인내,"한 번의 폭발적 훈련보다, 천 번의 평범한 훈련이 선수를 만든다.",오리지널
47,꾸준함·인내,"오늘 하루 빠지는 건 쉽다. 그 '쉬움'이 쌓여 격차가 된다.",오리지널
48,꾸준함·인내,"꾸준함은 재능 없는 사람의 재능이다.",오리지널
49,꾸준함·인내,"나무는 매일 자라는 걸 보여주지 않지만, 멈추지도 않는다.",오리지널
50,꾸준함·인내,"실력은 계단식으로 오른다. 안 오르는 것 같은 그 구간을 견뎌라.",오리지널
51,꾸준함·인내,"하루를 이기려 하지 말고, 한 달을 이겨라.",오리지널
52,꾸준함·인내,"반복이 지겨워질 때, 진짜 실력이 붙기 시작한다.",오리지널
53,꾸준함·인내,"좋아서 하는 건 누구나 한다. 싫어도 하는 게 프로의 시작이다.",오리지널
54,꾸준함·인내,"오늘도 나왔다는 것, 그 자체가 이미 절반의 승리다.",오리지널
55,꾸준함·인내,"습관이 된 노력은 더 이상 힘들지 않다. 그 지점까지 버텨라.",오리지널
56,팀워크·태도·인성,"잘하는 선수는 눈에 띄고, 좋은 동료는 마음에 남는다.",오리지널
57,팀워크·태도·인성,"패스는 공을 주는 것이 아니라, 믿음을 주는 것이다.",오리지널
58,팀워크·태도·인성,"벤치에서 동료를 부르는 목소리도 팀의 실력이다.",오리지널
